15      |14125  |-4164  |14216  |-8168  |-2.4924        |8.5090 |-4.8890        |-181   |115    |20     |-2.7634        |1.7557 |0.3053 |24.39
16      |15134  |-4128  |14160  |-8140  |-2.4708        |8.4755 |-4.8722        |-195   |102    |33     |-2.9771        |1.5573 |0.5038 |24.39
17      |16143  |-4168  |14104  |-8184  |-2.4948        |8.4420 |-4.8985        |-195   |110    |23     |-2.9771        |1.6794 |0.3511 |24.48
18      |17152  |-4204  |14180  |-7952  |-2.5163        |8.4874 |-4.7597        |-171   |98     |26     |-2.6107        |1.4962 |0.3969 |24.39
19      |18161  |-4164  |14068  |-7968  |-2.4924        |8.4204 |-4.7692        |-200   |117    |26     |-3.0534        |1.7863 |0.3969 |24.39
20      |19170  |-4128  |14040  |-8208  |-2.4708        |8.4036 |-4.9129        |-196   |110    |23     |-2.9924        |1.6794 |0.3511 |24.29
21      |20179  |-4100  |14124  |-8100  |-2.4541        |8.4539 |-4.8483        |-188   |97     |18     |-2.8702        |1.4809 |0.2748 |24.48
22      |21188  |-4236  |14196  |-8144  |-2.5355        |8.4970 |-4.8746        |-205   |115    |26     |-3.1298        |1.7557 |0.3969 |24.39
23      |22197  |-4148  |14176  |-8180  |-2.4828        |8.4851 |-4.8961        |-194   |110    |27     |-2.9618        |1.6794 |0.4122 |24.39
24      |23206  |-4108  |14096  |-8048  |-2.4588        |8.4372 |-4.8171        |-206   |115    |24     |-3.1450        |1.7557 |0.3664 |24.39
25      |24215  |-4228  |14252  |-8052  |-2.5307        |8.5305 |-4.8195        |-196   |110    |26     |-2.9924        |1.6794 |0.3969 |24.39
26      |25224  |-4100  |14168  |-8064  |-2.4541        |8.4803 |-4.8267        |-185   |111    |33     |-2.8244        |1.6947 |0.5038 |24.48
27      |26233  |-4140  |14188  |-8012  |-2.4780        |8.4922 |-4.7956        |-187   |117    |30     |-2.8550        |1.7863 |0.4580 |24.39
28      |27242  |-4084  |14108  |-8124  |-2.4445        |8.4443 |-4.8626        |-199   |104    |27     |-3.0382        |1.5878 |0.4122 |24.39
29      |28251  |-4172  |14180  |-8144  |-2.4972        |8.4874 |-4.8746        |-203   |105    |19     |-3.0992        |1.6031 |0.2901 |24.48
30      |29260  |-4180  |14156  |-8148  |-2.5019        |8.4731 |-4.8770        |-196   |116    |30     |-2.9924        |1.7710 |0.4580 |24.48
31      |30269  |-4052  |14160  |-8164  |-2.4253        |8.4755 |-4.8866        |-191   |110    |34     |-2.9160        |1.6794 |0.5191 |24.39
32      |31278  |-4140  |14056  |-8000  |-2.4780        |8.4132 |-4.7884        |-194   |115    |26     |-2.9618        |1.7557 |0.3969 |24.48
33      |32287  |-4148  |14196  |-8084  |-2.4828        |8.4970 |-4.8387        |-193   |101    |23     |-2.9466        |1.5420 |0.3511 |24.39
34      |33296  |-4152  |14116  |-8064  |-2.4852        |8.4491 |-4.8267        |-186   |109    |23     |-2.8397        |1.6641 |0.3511 |24.58
35      |34305  |-4084  |14148  |-8132  |-2.4445        |8.4683 |-4.8674        |-190   |120    |24     |-2.9008        |1.8321 |0.3664 |24.39
36      |35314  |-4116  |14092  |-8208  |-2.4636        |8.4348 |-4.9129        |-189   |112    |26     |-2.8855        |1.7099 |0.3969 |24.39
37      |36323  |-4160  |14072  |-8256  |-2.4900        |8.4228 |-4.9416        |-199   |111    |35     |-3.0382        |1.6947 |0.5344 |24.48
38      |37332  |-4140  |14072  |-8048  |-2.4780        |8.4228 |-4.8171        |-187   |108    |25     |-2.8550        |1.6489 |0.3817 |24.48
39      |38341  |-4180  |14152  |-8164  |-2.5019        |8.4707 |-4.8866        |-196   |92     |23     |-2.9924        |1.4046 |0.3511 |24.39
40      |39350  |-4188  |14192  |-8204  |-2.5067        |8.4946 |-4.9105        |-204   |109    |19     |-3.1145        |1.6641 |0.2901 |24.39
41      |40359  |-4196  |14092  |-8104  |-2.5115        |8.4348 |-4.8507        |-190   |109    |22     |-2.9008        |1.6641 |0.3359 |24.48
42      |41368  |-4256  |14088  |-8148  |-2.5474        |8.4324 |-4.8770        |-201   |99     |22     |-3.0687        |1.5115 |0.3359 |24.39
43      |42377  |-4132  |14140  |-8124  |-2.4732        |8.4635 |-4.8626        |-196   |116    |22     |-2.9924        |1.7710 |0.3359 |24.48
44      |43386  |-4176  |14152  |-8132  |-2.4995        |8.4707 |-4.8674        |-198   |106    |26     |-3.0229        |1.6183 |0.3969 |24.48
45      |44395  |-4076  |14172  |-7992  |-2.4397        |8.4827 |-4.7836        |-186   |101    |28     |-2.8397        |1.5420 |0.4275 |24.58
46      |45404  |-4236  |14160  |-8128  |-2.5355        |8.4755 |-4.8650        |-191   |100    |33     |-2.9160        |1.5267 |0.5038 |24.48
47      |46413  |-4192  |14068  |-8032  |-2.5091        |8.4204 |-4.8076        |-189   |111    |32     |-2.8855        |1.6947 |0.4885 |24.48
48      |47422  |-4132  |14100  |-8268  |-2.4732        |8.4396 |-4.9488        |-206   |108    |32     |-3.1450        |1.6489 |0.4885 |24.48
49      |48431  |-4124  |14148  |-8332  |-2.4684        |8.4683 |-4.9871        |-194   |111    |20     |-2.9618        |1.6947 |0.3053 |24.58
50      |49440  |-4108  |14132  |-8144  |-2.4588        |8.4587 |-4.8746        |-195   |106    |25     |-2.9771        |1.6183 |0.3817 |24.48
51      |50449  |-4120  |14040  |-8292  |-2.4660        |8.4036 |-4.9632        |-205   |106    |20     |-3.1298        |1.6183 |0.3053 |24.58
52      |51458  |-4236  |14168  |-8128  |-2.5355        |8.4803 |-4.8650        |-195   |112    |28     |-2.9771        |1.7099 |0.4275 |24.48
53      |52467  |-4208  |14084  |-8256  |-2.5187        |8.4300 |-4.9416        |-195   |112    |21     |-2.9771        |1.7099 |0.3206 |24.48
54      |53476  |-4328  |14104  |-8032  |-2.5905        |8.4420 |-4.8076        |-189   |107    |22     |-2.8855        |1.6336 |0.3359 |24.48
55      |54485  |-4084  |14116  |-8188  |-2.4445        |8.4491 |-4.9009        |-196   |111    |24     |-2.9924        |1.6947 |0.3664 |24.48
56      |55494  |-4136  |14116  |-8072  |-2.4756        |8.4491 |-4.8315        |-191   |108    |29     |-2.9160        |1.6489 |0.4427 |24.48
57      |56503  |-4152  |14092  |-8284  |-2.4852        |8.4348 |-4.9584        |-189   |117    |25     |-2.8855        |1.7863 |0.3817 |24.48
58      |57534  |-4192  |14192  |-8040  |-2.5091        |8.4946 |-4.8123        |-195   |112    |33     |-2.9771        |1.7099 |0.5038 |24.48
59      |58543  |-4128  |14080  |-8000  |-2.4708        |8.4276 |-4.7884        |-184   |105    |27     |-2.8092        |1.6031 |0.4122 |24.48
60      |59552  |-4120  |14272  |-8064  |-2.4660        |8.5425 |-4.8267        |-198   |103    |18     |-3.0229        |1.5725 |0.2748 |24.48
61      |60561  |-4040  |14108  |-8188  |-2.4181        |8.4443 |-4.9009        |-197   |114    |27     |-3.076 |1.7405 |0.4122 |24.58
62      |61570  |-4236  |14116  |-8256  |-2.5355        |8.4491 |-4.9416        |-182   |102    |28     |-2.7786        |1.5573 |0.4275 |24.48
63      |62579  |-4160  |14100  |-7996  |-2.4900        |8.4396 |-4.7860        |-191   |109    |33     |-2.9160        |1.6641 |0.5038 |24.58
64      |63588  |-4232  |14224  |-8252  |-2.5331        |8.5138 |-4.9392        |-193   |102    |28     |-2.9466        |1.5573 |0.4275 |24.58
65      |64597  |-4248  |14172  |-7956  |-2.5426        |8.4827 |-4.7621        |-164   |99     |18     |-2.5038        |1.5115 |0.2748 |24.58
66      |65606  |-4204  |14144  |-8072  |-2.5163        |8.4659 |-4.8315        |-218   |118    |40     |-3.3282        |1.8015 |0.6107 |24.58
67      |66615  |-4196  |14204  |-7984  |-2.5115        |8.5018 |-4.7788        |-194   |113    |36     |-2.9618        |1.7252 |0.5496 |24.58
68      |67624  |-4128  |14192  |-7992  |-2.4708        |8.4946 |-4.7836        |-196   |108    |18     |-2.9924        |1.6489 |0.2748 |24.58
69      |68633  |-4208  |14152  |-8104  |-2.5187        |8.4707 |-4.8507        |-189   |106    |39     |-2.8855        |1.6183 |0.5954 |24.48
70      |69642  |-4172  |14108  |-8184  |-2.4972        |8.4443 |-4.8985        |-197   |113    |21     |-3.076 |1.7252 |0.3206 |24.48
71      |70651  |-4116  |14164  |-8044  |-2.4636        |8.4779 |-4.8147        |-187   |100    |20     |-2.8550        |1.5267 |0.3053 |24.48
72      |71660  |-4204  |14132  |-8088  |-2.5163        |8.4587 |-4.8411        |-187   |114    |32     |-2.8550        |1.7405 |0.4885 |24.48
73      |72669  |-4136  |14220  |-8068  |-2.4756        |8.5114 |-4.8291        |-198   |117    |24     |-3.0229        |1.7863 |0.3664 |24.48
74      |73678  |-4180  |14052  |-8044  |-2.5019        |8.4108 |-4.8147        |-193   |108    |37     |-2.9466        |1.6489 |0.5649 |24.48
75      |74687  |-4224  |14068  |-8012  |-2.5283        |8.4204 |-4.7956        |-205   |117    |36     |-3.1298        |1.7863 |0.5496 |24.58
76      |75696  |-4132  |14184  |-8140  |-2.4732        |8.4898 |-4.8722        |-193   |111    |24     |-2.9466        |1.6947 |0.3664 |24.48
77      |76705  |-4200  |14112  |-8108  |-2.5139        |8.4467 |-4.8530        |-196   |115    |36     |-2.9924        |1.7557 |0.5496 |24.48
78      |77714  |-4148  |14160  |-8136  |-2.4828        |8.4755 |-4.8698        |-181   |104    |19     |-2.7634        |1.5878 |0.2901 |24.67
79      |78723  |-4140  |14128  |-8092  |-2.4780        |8.4563 |-4.8435        |-208   |120    |31     |-3.1756        |1.8321 |0.4733 |24.48
80      |79732  |-4152  |14192  |-8156  |-2.4852        |8.4946 |-4.8818        |-190   |106    |18     |-2.9008        |1.6183 |0.2748 |24.48
81      |80741  |-4148  |14140  |-7996  |-2.4828        |8.4635 |-4.7860        |-197   |104    |32     |-3.076 |1.5878 |0.4885 |24.58
82      |81750  |-4096  |14208  |-8064  |-2.4517        |8.5042 |-4.8267        |-183   |104    |22     |-2.7939        |1.5878 |0.3359 |24.58
83      |82759  |-4200  |14096  |-8232  |-2.5139        |8.4372 |-4.9273        |-204   |108    |25     |-3.1145        |1.6489 |0.3817 |24.58
84      |83768  |-4156  |13956  |-8232  |-2.4876        |8.3534 |-4.9273        |-199   |108    |37     |-3.0382        |1.6489 |0.5649 |24.58
85      |84777  |-4172  |13984  |-8084  |-2.4972        |8.3701 |-4.8387        |-190   |123    |37     |-2.9008        |1.8779 |0.5649 |24.58
86      |85786  |-4220  |14072  |-7944  |-2.5259        |8.4228 |-4.7549        |-193   |101    |21     |-2.9466        |1.5420 |0.3206 |24.48
87      |86795  |-4144  |14052  |-8268  |-2.4804        |8.4108 |-4.9488        |-200   |112    |24     |-3.0534        |1.7099 |0.3664 |24.58
88      |87804  |-4168  |14172  |-8056  |-2.4948        |8.4827 |-4.8219        |-194   |98     |27     |-2.9618        |1.4962 |0.4122 |24.58
89      |88813  |-4156  |14232  |-8148  |-2.4876        |8.5186 |-4.8770        |-189   |107    |32     |-2.8855        |1.6336 |0.4885 |24.48
90      |89822  |-4120  |14000  |-8160  |-2.4660        |8.3797 |-4.8842        |-204   |105    |26     |-3.1145        |1.6031 |0.3969 |24.48
91      |90831  |-4136  |14200  |-8220  |-2.4756        |8.4994 |-4.9201        |-190   |107    |25     |-2.9008        |1.6336 |0.3817 |24.58
92      |91840  |-4176  |14108  |-8168  |-2.4995        |8.4443 |-4.8890        |-192   |116    |31     |-2.9313        |1.7710 |0.4733 |24.58
93      |92849  |-4068  |14188  |-8264  |-2.4349        |8.4922 |-4.9464        |-203   |112    |27     |-3.0992        |1.7099 |0.4122 |24.67
94      |93858  |-4244  |14152  |-8052  |-2.5402        |8.4707 |-4.8195        |-196   |111    |27     |-2.9924        |1.6947 |0.4122 |24.67
95      |94867  |-4136  |14144  |-8132  |-2.4756        |8.4659 |-4.8674        |-188   |111    |15     |-2.8702        |1.6947 |0.2290 |24.48
96      |95876  |-4096  |14068  |-8120  |-2.4517        |8.4204 |-4.8602        |-198   |109    |26     |-3.0229        |1.6641 |0.3969 |24.48
97      |96885  |-4148  |14116  |-8080  |-2.4828        |8.4491 |-4.8363        |-196   |107    |23     |-2.9924        |1.6336 |0.3511 |24.58
98      |97894  |-4128  |14212  |-8104  |-2.4708        |8.5066 |-4.8507        |-201   |109    |27     |-3.0687        |1.6641 |0.4122 |24.58
99      |98903  |-4176  |14120  |-8176  |-2.4995        |8.4515 |-4.8937        |-202   |107    |25     |-3.0840        |1.6336 |0.3817 |24.58
100     |99912  |-4128  |14148  |-8016  |-2.4708        |8.4683 |-4.7980        |-197   |107    |22     |-3.076 |1.6336 |0.3359 |24.48
